epoca,erro
460,0.20663658724075173
461,0.20661911774225902
462,0.20660165191656252
463,0.20658418974435278
464,0.20656673120667302
465,0.20654927628491435
466,0.20653182496081118
467,0.2065143772164367
468,0.2064969330341982
469,0.20647949239683294
470,0.20646205528740347
471,0.2064446216892935
472,0.2064271915862035
473,0.2064097649621467
474,0.20639234180144472
475,0.20637492208872357
476,0.2063575058089097
477,0.20634009294722588
478,0.2063226834891873
479,0.20630527742059784
480,0.206287874727546
481,0.20627047539640128
482,0.20625307941381044
483,0.20623568676669374
484,0.20621829744224152
485,0.20620091142791036
486,0.2061835287114196
487,0.20616614928074808
488,0.20614877312413044
489,0.20613140023005372
490,0.2061140305872543
491,0.20609666418471417
492,0.206079301011658
493,0.2060619410575498
494,0.20604458431208966
495,0.20602723076521068
496,0.20600988040707585
497,0.20599253322807504
498,0.20597518921882196
499,0.20595784837015102
500,0.2059405106731147
501,0.20592317611898014
502,0.2059058446992269
503,0.2058885164055436
504,0.20587119122982536
505,0.20585386916417103
506,0.20583655020088035
507,0.20581923433245142
508,0.20580192155157778
509,0.20578461185114613
510,0.20576730522423345
511,0.2057500016641045
512,0.2057327011642094
513,0.20571540371818098
514,0.2056981093198324
515,0.20568081796315474
516,0.2056635296423145
517,0.20564624435165135
518,0.2056289620856756
519,0.20561168283906614
520,0.20559440660666772
521,0.2055771333834893
522,0.2055598631647012
523,0.20554259594563346
524,0.2055253317217731
525,0.20550807048876246
526,0.20549081224239676
527,0.20547355697862216
528,0.2054563046935336
529,0.20543905538337287
530,0.20542180904452637
531,0.20540456567352336
532,0.2053873252670339
533,0.20537008782186683
534,0.20535285333496792
535,0.2053356218034179
536,0.2053183932244308
537,0.20530116759535177
538,0.20528394491365548
539,0.20526672517694428
540,0.2052495083829463
541,0.2052322945295138
542,0.20521508361462157
543,0.20519787563636477
544,0.20518067059295758
545,0.20516346848273162
546,0.2051462693041339
547,0.20512907305572547
548,0.20511187973617978
549,0.205094689344281
550,0.20507750187892246
551,0.20506031733910512
