w2_0,w2_1,w2_2,w2_3,w2_4,w2_5,w2_6,w2_7,w2_8,w2_9,w2_10,w2_11,w2_12,w2_13,w2_14,w2_15,w2_16,w2_17,w2_18,w2_19,w2_20,w2_21,w2_22,w2_23,w2_24,w2_25
0.2564337461110548,0.08831995574230604,-0.06222373707015754,-0.12712262845410438,-0.07452510575023809,-0.0991405053245087,0.20835281133251315,0.22535156180208615,0.06483970228517158,0.1401424393822494,-0.14048985582917933,-0.14203398740454848,-0.13695484708303468,-0.02662627956496403,0.17738631503507715,-0.15032441352729198,0.15677579733981767,-0.1631046276477908,0.02185419348389021,0.07816368679009725,-0.012306384941516814,-0.05178135735044351,-0.19665201272132946,0.014145637396960125,-0.009398126422193216,0.01022737655602367
-0.212295223368126,-0.09206595947841663,-0.010124161134137347,0.014568049838094363,-0.04489754250705607,-0.13063697548565026,-0.2133904902426604,-0.026036841156398434,0.023745268794949724,0.055222306533471106,-0.11979841955393061,0.1113714896715814,0.16791270398675104,-0.001048997427058208,0.15317981258767085,-0.08687851170674728,-0.08446750735768989,-0.09446183222328378,-0.026941318787568273,-0.11956929893327202,-0.1041579227257943,-0.0042292209844150795,0.3660826849206753,-0.09280586574010195,0.10087927586680134,0.01571983733704388
0.062102011444627465,-0.18037281435704047,-0.08628352383757051,-0.10435345834579891,-0.19438305505518416,0.0894707708212314,-0.12335386857896799,0.09967200825808144,-0.03375112187226483,0.0894411429374186,0.03426360928074113,-0.04419168286371614,0.13249349421263282,-0.3092819611802315,-0.06483407625672223,-0.14253872490489025,-0.08509499149923774,-0.1602728723081761,0.10649892660693072,-0.056966305266069904,0.07775491178331441,0.1404151589086263,0.03641363140677714,0.1152872169684886,0.042884649359290705,0.0635221874109031
-0.054750180736535176,0.0823580599317201,0.017806124040820496,-0.089549833881178,-0.2632368784678274,0.09238779486692499,0.1262779364367919,0.08228113154816823,0.06199939563636217,-0.040219614712726635,0.1141950727545875,0.040161974755984924,0.0017046366717511595,-0.1701340331864667,-0.08422149021789935,0.09808344577283544,0.06956010698861168,-0.05762921764621158,-0.06612674379016238,-0.014450888473567383,-0.13453555887930568,-0.013377848700595952,0.10011499638572938,-0.12248874615104843,-0.021373723403132726,-0.0434632702639785
0.2072198016298963,-0.1792621209683607,-0.06126405694641172,0.2718427737737645,0.09307826393664885,0.037380110960838174,-0.182248661516222,-0.07969176865107093,0.06145865582843219,-0.045543008236495215,-0.01923839043039527,0.09794303212331242,0.03035478448058057,-0.09048334573157324,0.1396223798869083,-0.06785568070913485,0.03903445600920157,-0.00683246049427335,0.15805724705846605,-0.05634821359045112,-0.1943506126179386,0.13547559285025085,-0.1766224566901325,-0.09395703619302041,-0.060564237799345846,-0.057368475147202766
-0.06907246299152695,-0.0241383033925803,-0.0874566494190869,-0.12117523921593416,-0.07505348728864603,0.02030056599724492,-0.12794828523730706,0.21753995790320144,0.024909047824345873,0.14459906511589302,-0.19751182385005095,0.03773334999316703,-0.10110431285966046,0.012844599034135684,-0.0119425048020842,0.03362774046216503,0.1722557137021843,0.02700186517446157,-0.07339400174240161,0.1272312383038534,-0.050758660025734856,-0.029851314046778446,-0.15320433960380714,-0.11897631066251402,-0.11177670791703857,-0.07240770436252034
-0.36928188771201237,0.02699071874903724,-0.10460603738264888,0.036628623415720346,0.008845785419184115,0.012672304585407622,0.16675486915991775,0.037373447867685025,-0.02257812325447733,0.061542917442768935,0.14105762016367335,-0.012231772253143234,0.09411630867333702,0.2000103762016786,-0.09409477436247767,-0.0371190399073881,0.026579507727989848,0.04756319987874558,0.13532098596096276,0.011047169353685334,-0.09962577408545154,0.07066180238442597,-0.0733392842966776,-0.40521710244247866,0.04800119060645469,-0.019769478189537292
0.23402935186314217,0.11512419678687866,-0.11661812732383572,0.09218947673212315,0.09132926767455189,0.11419046662109303,-0.2782435020131175,-0.06565867202978934,-0.07651263317961574,0.07667674561250161,-0.03662765088224247,-0.0034921226585521363,0.191381519640444,0.034514371208314756,-0.03979455350915086,-0.11000932905465818,-0.15847585680608622,-0.14844667410688847,0.08972094616387728,-0.07323244078836198,0.23946568716314615,0.07957365425717924,0.17046813187411217,-0.15291969230673622,0.131672203929437,0.2026633730837841
-0.033952833958575436,0.0710484585011431,0.2325575975478143,0.04946508454506419,-0.017118469553203768,-0.07390535435426454,0.2672695396319809,-0.09362215707590753,0.02460600127859228,0.08905669750935187,0.10090255536508051,-0.0468135893969437,-0.07738448052554472,-0.03810291709944216,-0.12073993024178713,0.05788131298001442,-0.05402139177873286,-0.0600049611712328,-0.15738281447263178,0.03563438914839683,-0.1449867529342535,-0.13971271867884458,0.15004379237375817,-0.04361756029533745,0.029310578690717893,-0.0927788171248369
0.08861875708304277,-0.11099315520755056,-0.21550830911115934,0.2810134084509179,-0.19091320777243037,0.049630714527265286,0.011933532654691159,0.03975378497947051,-0.13556582261106906,0.0488654832741206,-0.12301639013184884,0.16700535067937788,0.12803413018984522,-0.0884229023978492,-0.09504716291414521,-0.13478220741586613,-0.0939176355364271,0.08876918246430271,0.08741238592999818,0.049802643112574,-0.14090860797376598,0.07883709636762616,-0.08451855300100013,-0.03696853720633497,0.0744643773401945,0.014186966902863326
